index,metal,fermi,dband_center,dband_width,d_band_filling,vac_E,bare_mu,bare_alpha,bare_E,no3_mu,no3_alpha,no3_q,no3_E,no3_G,tstate_mu,tstate_alpha,tstate_q,tstate_E,tstate_G,fstate_mu,fstate_alpha,fstate_E,o_mu,o_alpha,o_E,no2_q,h2o_q,oh_q,nh_q
0,saa_rh1cu_111,-0.3176,-1.558296335,1.75413468,0.88694206,4.278,0.012532,2.820418947,-113.0642328,0.471479,3.102980763,-0.288143,-137.5174754,-137.274,0.316809,3.020287436,-0.329207,-136.5487,-136.343,0.484278,3.026493632,-138.0966663,0.126609,2.797283201,-119.5324123,-0.221637,0.13149,-0.173531,-0.257678
1,saa_ni1cu_111,-0.3775,-1.434713441,1.559326466,0.91476455,4.198,-0.000439,2.804781804,-111.2981192,0.433115,3.071742474,-0.312157,-135.8781233,-135.635,0.157469,3.011082584,-0.289971,-135.3724,-135.163,0.406144,2.978924051,-136.4924077,0.109043,2.786987901,-118.0077664,-0.245814,0.122253,-0.181534,-0.31352
2,saa_ru1cu_111,-0.3234,-1.37688103,1.915439633,0.84010448,4.307,0.020128,2.819262238,-113.8853102,0.445798,3.119464188,-0.267557,-138.4817492,-138.223,0.282469,3.198806274,-0.225622,-138.1827,-138.081,0.416139,2.987808823,-139.6457334,0.103138,2.801327072,-120.8941926,-0.223583,0.173123,-0.144896,-0.226755
3,saa_pd1cu_111,-0.3293,-1.975076342,1.694360637,0.93023679,4.249,0.001422,2.821324174,-111.7006878,0.506576,3.101112783,-0.366975,-135.9681644,-135.725,0.19639,3.2975692,-0.332416,-135.5257,-135.489,0.487733,3.035367916,-136.1310041,0.145096,2.798460822,-117.7878857,-0.270818,0.046265,-0.251143,-0.348285
4,cu_111,-0.3956,-2.174871727,1.39156854,0.95571413,4.174,-0.005776,2.8154,-109.9115075,0.451992,3.0692,-0.361719,-134.2971144,-134.047,0.187896,3.128750681,-0.331721,-133.7829554,-133.599,0.485008,3.000248357,-134.8522752,0.126211,2.788525382,-116.2665292,-0.274823,0.060209,-0.22973,-0.384658
5,pd_111,0.2206,-1.492269424,1.525300245,0.90583684,5.339,0.011746,3.391388762,-158.07658,0.39212,3.771745769,-0.285341,-181.9605325,-181.708,0.112016,3.835145448,-0.294748,-181.2569,-181.11,0.291912,3.640377306,-182.0426395,0.076401,3.383357087,-164.0054177,-0.19929,0.078115,-0.169289,-0.176465
6,rh_111,1.043,-1.486955068,1.932297288,0.78884604,5.98,-0.012442,3.204723382,-224.9456597,0.333729,3.510345315,-0.215039,-249.3712165,-249.069,0.082796,3.549924872,-0.163417,-248.7554,-248.578,0.273656,3.391471375,-250.1991702,0.079528,3.19,-231.6105124,-0.162636,0.143553,-0.09573,-0.129708
7,ru_111,1.5644,-1.471511895,2.042326397,0.71127781,6.433,-0.014619,3.207184011,-291.5176403,0.301692,3.466226881,-0.236313,-316.4040857,-316.115,0.08687,3.498205437,-0.18586,-315.8976,-315.733,0.26693,3.337430149,-317.9896359,0.077635,3.182832877,-298.6414776,-0.202538,0.139514,-0.112162,-0.178844
8,ni_111,0.1409,-1.195175822,1.709500657,0.86035899,5.021,0.001774,2.5458,-167.8543695,0.348516,2.811,-0.252276,-192.349123,-192.085,nan,nan,nan,nan,nan,nan,nan,nan,0.089377,2.5458,-174.8151151,-0.17747,0.13099,-0.107518,-0.195559
9,saa_rh1cu_100,-0.5683,-1.485769629,1.662732834,0.89532344,3.873,0.036137,2.93836528,-110.7731293,0.532033,3.223876305,-0.2964,-135.4927296,-135.206,0.301812,3.268111073,-0.313249,-134.7567,-134.548,0.448783,3.103149599,-136.4760806,0.106676,2.895996807,-117.3204871,-0.239299,0.14201,-0.172701,-0.278405
