#Energy  d
-19.46510000 0
-19.45710000 0
-19.44910000 0
-19.44110000 0
-19.43310000 0
-19.42510000 0
-19.41710000 0
-19.40910000 0
-19.40110000 0
-19.39310000 0
-19.38510000 0
-19.37710000 0
-19.36910000 0
-19.36110000 0
-19.35310000 0
-19.34510000 0
-19.33710000 0
-19.32910000 0
-19.32110000 0
-19.31310000 0
-19.30510000 0
-19.29710000 0
-19.28910000 0
-19.28110000 0
-19.27310000 0
-19.26510000 0
-19.25710000 0
-19.24910000 0
-19.24110000 0
-19.23310000 0
-19.22510000 0
-19.21710000 0
-19.20910000 0
-19.20110000 0
-19.19310000 0
-19.18510000 0
-19.17710000 0
-19.16910000 0
-19.16110000 0
-19.15310000 0
-19.14510000 0
-19.13710000 0
-19.12910000 0
-19.12110000 0
-19.11310000 0
-19.10510000 0
-19.09710000 0
-19.08910000 0
-19.08110000 0
-19.07310000 0
-19.06510000 0
-19.05710000 0
-19.04910000 0
-19.04110000 0
-19.03310000 0
-19.02510000 0
-19.01710000 0
-19.00910000 0
-19.00110000 0
-18.99310000 0
-18.98510000 0
-18.97710000 0
-18.96910000 0
-18.96110000 0
-18.95310000 0
-18.94510000 0
-18.93710000 0
-18.92910000 0
-18.92110000 0
-18.91310000 0
-18.90510000 0
-18.89710000 0
-18.88910000 0
-18.88110000 0
-18.87310000 0
-18.86510000 0
-18.85710000 0
-18.84910000 0
-18.84110000 0
-18.83310000 0
-18.82510000 0
-18.81710000 0
-18.80910000 0
-18.80110000 0
-18.79310000 0
-18.78510000 0
-18.77710000 0
-18.76910000 0
-18.76110000 0
-18.75310000 0
-18.74510000 0
-18.73710000 0
-18.72910000 0
-18.72110000 0
-18.71310000 0
-18.70510000 0
-18.69710000 0
-18.68910000 0
-18.68110000 0
-18.67310000 0
-18.66510000 0
-18.65710000 0
-18.64910000 0
-18.64110000 0
-18.63310000 0
-18.62510000 0
-18.61710000 0
-18.60910000 0
-18.60110000 0
-18.59310000 0
