index,jpotential,jfermi,jbare_surf_charge,jbare_E,jno3_surf_charge,jno3_E,jno3_G,jtstate_surf_charge,jtstate_E,jtstate_G
0,-1,-0.134502451,684.686707,-7267.561281,707.963249,-7325.7601,-7325.752309,nan,nan,nan
1,-0.8,-0.141852312,684.440099,-7267.527223,707.780806,-7325.734891,-7325.725814,nan,nan,nan
2,-0.6,-0.149202173,684.225441,-7267.495995,707.581343,-7325.705879,-7325.697648,707.350422,-7325.647379,-7325.641425
3,-0.4,-0.156552033,684.031579,-7267.466392,707.408797,-7325.679517,-7325.669631,707.176091,-7325.620731,-7325.614704
4,-0.2,-0.163901894,683.851003,-7267.437455,707.234327,-7325.651565,-7325.641826,nan,nan,nan
5,0,-0.171251755,683.664482,-7267.406189,707.041206,-7325.619088,-7325.609864,706.809632,-7325.56085,-7325.5535
6,0.2,-0.178601615,683.469691,-7267.372111,706.85491,-7325.586481,-7325.57711,nan,nan,nan
7,0.4,-0.185951476,683.267817,-7267.335307,706.665733,-7325.551989,-7325.54214,706.417905,-7325.490874,-7325.483782
8,0.6,-0.193301337,683.057899,-7267.295497,706.470881,-7325.515035,-7325.504488,706.269554,-7325.462354,-7325.455078
9,0.8,-0.200651198,682.840339,-7267.252639,706.273124,-7325.476075,-7325.465601,nan,nan,nan
10,1,-0.208001058,682.61487,-7267.206559,706.067805,-7325.434128,-7325.423544,nan,nan,nan
